Province/State,lat,lng,Country/Region,Last Update,Confirmed,Deaths,Recovered
Xinjiang,42.5246357,87.5395855,China,2,2,0,0
Shanxi,37.2425649,111.8568586,China,2,1,0,0
Inner Mongolia,43.37822,115.0594815,China,2,1,0,0
Qinghai,35.744798,96.4077358,China,2,0,0,0
Washington,47.7510741,-120.7401385,US,2,1,0,0
Chicago,41.8781136,-87.6297982,US,2,1,0,0
Tokyo,35.6803997,139.7690174,Japan,2,2,0,0
Bangkok,13.7563309,100.5017651,Thailand,2,5,0,0
Seoul,37.566535,126.9779692,South Korea,2,2,0,0
Singapore,1.352083,103.819836,Singapore,2,3,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,2,2,0,0
Paris,48.856614,2.3522219,France,2,2,0,0
Guangdong,23.3790333,113.7632828,China,3,78,0,2
Zhejiang,29.1416432,119.7889248,China,3,62,0,1
Chongqing,29.4315861,106.912251,China,3,57,0,0
Hunan,27.6252995,111.8568586,China,3,43,0,0
Beijing,39.9041999,116.4073963,China,3,41,0,2
Anhui,30.6006773,117.9249002,China,3,39,0,0
Shanghai,31.230416,121.473701,China,3,33,0,1
Henan,34.2904302,113.3823545,China,3,32,0,0
Sichuan,30.2638032,102.8054753,China,3,28,0,0
Shandong,35.8939566,117.9249002,China,3,27,0,0
Guangxi,23.7247599,108.8076195,China,3,23,0,0
Hainan,19.5663947,109.949686,China,3,19,0,0
Jiangxi,27.0874564,114.9042208,China,3,18,0,0
Fujian,26.4836842,117.9249002,China,3,18,0,0
Jiangsu,33.1401715,119.7889248,China,3,18,0,1
Liaoning,41.9436543,122.5290376,China,3,17,0,0
Shaanxi,35.3939908,109.1880047,China,3,15,0,0
Yunnan,24.4752847,101.3431058,China,3,11,0,0
Tianjin,39.3433574,117.3616476,China,3,10,0,0
Heilongjiang,47.1216472,128.738231,China,3,9,1,0
Hebei,37.8956594,114.9042208,China,3,8,1,0
Inner Mongolia,43.37822,115.0594815,China,3,7,0,0
Shanxi,37.2425649,111.8568586,China,3,6,0,0
Hong Kong,22.3193039,114.1693611,Hong Kong,3,5,0,0
Guizhou,26.8429645,107.2902839,China,3,4,0,0
Jilin,43.837883,126.549572,China,3,4,0,0
Gansu,35.7518326,104.2861116,China,3,4,0,0
Ningxia,37.198731,106.1580937,China,3,3,0,0
Taiwan,23.69781,120.960515,Taiwan,3,3,0,0
Xinjiang,42.5246357,87.5395855,China,3,3,0,0
Macau,22.198745,113.543873,Macau,3,2,0,0
Qinghai,35.744798,96.4077358,China,3,1,0,0
Washington,47.7510741,-120.7401385,US,3,1,0,0
Illinois,40.6331249,-89.3985283,US,3,1,0,0
